Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,130,16,P:System.Data.SqlClient.SqlCommand.Parameters,,,,,"cmd.Parameters.Add(""@title"", SqlDbType.VarChar).Value = evt.Title;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,130,16,T:System.Data.SqlClient.SqlParameter,,,,,"cmd.Parameters.Add(""@title"", SqlDbType.VarChar).Value = evt.Title;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,130,16,"M:System.Data.SqlClient.SqlParameterCollection.Add(System.String,System.Data.SqlDbType)",,,,,"cmd.Parameters.Add(""@title"", SqlDbType.VarChar).Value = evt.Title;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,130,16,P:System.Data.SqlClient.SqlParameter.Value,,,,,"cmd.Parameters.Add(""@title"", SqlDbType.VarChar).Value = evt.Title;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,111,16,P:System.Data.SqlClient.SqlCommand.CommandType,,,,,"SqlCommand cmd = new SqlCommand(@""insert into [Events]                                                  (  	                                                title  	                                                ,[description]  	                                                ,event_start  	                                                ,event_end  	                                                ,all_day                                                  )                                                  values                                                  (  	                                                @title  	                                                ,@description  	                                                ,@start  	                                                ,@end  	                                                ,@allDay                                                  );                                                  select scope_identity()"", conn, trans) {                      CommandType = CommandType.Text                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,111,16,T:System.Data.SqlClient.SqlCommand,,,,,"SqlCommand cmd = new SqlCommand(@""insert into [Events]                                                  (  	                                                title  	                                                ,[description]  	                                                ,event_start  	                                                ,event_end  	                                                ,all_day                                                  )                                                  values                                                  (  	                                                @title  	                                                ,@description  	                                                ,@start  	                                                ,@end  	                                                ,@allDay                                                  );                                                  select scope_identity()"", conn, trans) {                      CommandType = CommandType.Text                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,111,16,"M:System.Data.SqlClient.SqlCommand.#ctor(System.String,System.Data.SqlClient.SqlConnection,System.Data.SqlClient.SqlTransaction)",,,,,"SqlCommand cmd = new SqlCommand(@""insert into [Events]                                                  (  	                                                title  	                                                ,[description]  	                                                ,event_start  	                                                ,event_end  	                                                ,all_day                                                  )                                                  values                                                  (  	                                                @title  	                                                ,@description  	                                                ,@start  	                                                ,@end  	                                                ,@allDay                                                  );                                                  select scope_identity()"", conn, trans) {                      CommandType = CommandType.Text                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,107,12,T:System.Data.SqlClient.SqlTransaction,,,,,SqlTransaction trans = conn.BeginTransaction();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,107,12,M:System.Data.SqlClient.SqlConnection.BeginTransaction,,,,,SqlTransaction trans = conn.BeginTransaction();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,106,12,T:System.Data.SqlClient.SqlConnection,,,,,SqlConnection conn = GetConnection();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,95,16,M:System.Data.SqlClient.SqlTransaction.Rollback,,,,,trans.Rollback();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,93,16,M:System.Data.SqlClient.SqlTransaction.Commit,,,,,trans.Commit();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,91,16,M:System.Data.SqlClient.SqlCommand.ExecuteNonQuery,,,,,cmd.ExecuteNonQuery();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,90,16,T:System.Data.SqlClient.SqlParameterCollection,,,,,"cmd.Parameters.Add(""@allDay"", SqlDbType.Bit).Value = evt.AllDay;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,90,16,P:System.Data.SqlClient.SqlCommand.Parameters,,,,,"cmd.Parameters.Add(""@allDay"", SqlDbType.Bit).Value = evt.AllDay;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,90,16,T:System.Data.SqlClient.SqlParameter,,,,,"cmd.Parameters.Add(""@allDay"", SqlDbType.Bit).Value = evt.AllDay;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,90,16,"M:System.Data.SqlClient.SqlParameterCollection.Add(System.String,System.Data.SqlDbType)",,,,,"cmd.Parameters.Add(""@allDay"", SqlDbType.Bit).Value = evt.AllDay;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,90,16,P:System.Data.SqlClient.SqlParameter.Value,,,,,"cmd.Parameters.Add(""@allDay"", SqlDbType.Bit).Value = evt.AllDay;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,89,16,T:System.Data.SqlClient.SqlParameterCollection,,,,,"cmd.Parameters.Add(""@end"", SqlDbType.DateTime).Value = Helpers.ToDBNullOrDefault(evt.End);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,89,16,P:System.Data.SqlClient.SqlCommand.Parameters,,,,,"cmd.Parameters.Add(""@end"", SqlDbType.DateTime).Value = Helpers.ToDBNullOrDefault(evt.End);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,89,16,T:System.Data.SqlClient.SqlParameter,,,,,"cmd.Parameters.Add(""@end"", SqlDbType.DateTime).Value = Helpers.ToDBNullOrDefault(evt.End);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,89,16,"M:System.Data.SqlClient.SqlParameterCollection.Add(System.String,System.Data.SqlDbType)",,,,,"cmd.Parameters.Add(""@end"", SqlDbType.DateTime).Value = Helpers.ToDBNullOrDefault(evt.End);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,89,16,P:System.Data.SqlClient.SqlParameter.Value,,,,,"cmd.Parameters.Add(""@end"", SqlDbType.DateTime).Value = Helpers.ToDBNullOrDefault(evt.End);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,88,16,T:System.Data.SqlClient.SqlParameterCollection,,,,,"cmd.Parameters.Add(""@start"", SqlDbType.DateTime).Value = evt.Start;"
